index,YearStart,LocationAbbr,Data_Value,Latitude,Longitude,Sample_Size,Question,Age_Category,States,Counties,Stratification1
53,1970-01-01 00:00:00.000002018,SD,17.4,44.353130053000484,-100.3735306369997,1561.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,21.0,2732.0,48 - 59
54,1970-01-01 00:00:00.000002018,AL,13.6,32.84057112200048,-86.63186076199969,24820.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,29.0,94.0,Total
55,1970-01-01 00:00:00.000002018,RI,17.2,41.70828019300046,-71.52247031399963,3803.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,27.0,2658.0,Hispanic
56,1970-01-01 00:00:00.000002018,OK,15.0,35.47203135600046,-97.52107021399968,14583.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,20.0,712.0,Female
57,1970-01-01 00:00:00.000002018,ND,15.9,47.47531977900047,-100.11842104899966,552.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,3.0,568.0,Hispanic
58,1970-01-01 00:00:00.000002018,KY,16.1,37.645970271000465,-84.77497104799966,34628.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,36.0,235.0,Total
59,1970-01-01 00:00:00.000002018,WA,16.6,47.52227862900048,-120.47001078999972,26345.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,6.0,2956.0,Hispanic
60,1970-01-01 00:00:00.000002018,WY,10.6,43.23554134300048,-108.10983035299967,3231.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,14.0,3084.0,Total
61,1970-01-01 00:00:00.000002018,KS,11.5,38.34774030000045,-98.20078122699965,10367.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,17.0,1287.0,Male
63,1970-01-01 00:00:00.000002018,WA,11.8,47.52227862900048,-120.47001078999972,22729.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,6.0,2956.0,24 - 35
64,1970-01-01 00:00:00.000002018,MT,18.6,47.06652897200047,-109.42442064499971,1902.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,2.0,2283.0,American Indian/Alaska Native
65,1970-01-01 00:00:00.000002018,MN,10.1,46.35564873600049,-94.79420050299967,15623.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,1.0,392.0,Non-Hispanic White
66,1970-01-01 00:00:00.000002018,ME,18.8,45.254228894000505,-68.98503133599962,117.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,49.0,1725.0,American Indian/Alaska Native
67,1970-01-01 00:00:00.000002018,VT,11.5,43.62538123900049,-72.51764079099962,1147.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,28.0,3218.0,12 - 17
68,1970-01-01 00:00:00.000002018,TX,16.3,31.827240407000488,-99.42677020599967,332.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,23.0,3109.0,American Indian/Alaska Native
69,1970-01-01 00:00:00.000002018,OH,11.9,40.06021014100048,-82.40426005599966,2811.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,38.0,587.0,Asian/Pacific Islander
70,1970-01-01 00:00:00.000002018,CT,8.2,41.56266102000046,-72.64984095199964,3022.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,24.0,1043.0,Non-Hispanic White
71,1970-01-01 00:00:00.000002018,AK,15.0,64.84507995700051,-147.72205903599973,1692.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,51.0,1673.0,Non-Hispanic White
72,1970-01-01 00:00:00.000002018,AZ,9.6,34.865970280000454,-111.76381127699972,4897.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,7.0,986.0,3 - 5
73,1970-01-01 00:00:00.000002018,VT,10.3,43.62538123900049,-72.51764079099962,184.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,28.0,3218.0,Asian/Pacific Islander
74,1970-01-01 00:00:00.000002018,NV,11.1,39.493240390000494,-117.07184056399967,5229.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,10.0,481.0,Non-Hispanic White
75,1970-01-01 00:00:00.000002018,OK,13.3,35.47203135600046,-97.52107021399968,4913.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,20.0,712.0,Non-Hispanic Black
77,1970-01-01 00:00:00.000002018,NH,18.6,43.65595011300047,-71.50036091999965,2787.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,26.0,2405.0,Male
79,1970-01-01 00:00:00.000002018,CT,13.0,41.56266102000046,-72.64984095199964,3385.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,24.0,1043.0,Non-Hispanic White
80,1970-01-01 00:00:00.000002018,AL,19.5,32.84057112200048,-86.63186076199969,8863.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,29.0,94.0,48 - 59
81,1970-01-01 00:00:00.000002018,NH,11.7,43.65595011300047,-71.50036091999965,2469.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,26.0,2405.0,Female
82,1970-01-01 00:00:00.000002018,ND,16.9,47.47531977900047,-100.11842104899966,4560.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,3.0,568.0,Total
83,1970-01-01 00:00:00.000002018,IL,14.7,40.48501028300046,-88.99771017799969,35230.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,34.0,1795.0,Male
85,1970-01-01 00:00:00.000002018,ID,11.6,43.682630005000476,-114.3637300419997,2603.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,5.0,1687.0,18 - 23
86,1970-01-01 00:00:00.000002018,NE,14.3,41.6410409880005,-99.36572062299967,3512.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,19.0,2243.0,12 - 17
87,1970-01-01 00:00:00.000002018,LA,13.4,31.31266064400046,-92.44568007099969,18093.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,22.0,1697.0,Non-Hispanic Black
88,1970-01-01 00:00:00.000002018,PA,13.4,40.79373015200048,-77.86070029399963,28015.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,48.0,2495.0,36 - 47
89,1970-01-01 00:00:00.000002018,ID,10.5,43.682630005000476,-114.3637300419997,5224.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,5.0,1687.0,24 - 35
91,1970-01-01 00:00:00.000002018,GA,20.5,32.83968109300048,-83.62758034599966,16497.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,31.0,1149.0,Hispanic
92,1970-01-01 00:00:00.000002018,CA,15.9,37.63864012300047,-120.99999953799971,328056.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,8.0,1340.0,Hispanic
93,1970-01-01 00:00:00.000002018,WI,13.7,44.39319117400049,-89.81637074199966,17317.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,41.0,3078.0,Female
94,1970-01-01 00:00:00.000002018,CT,12.2,41.56266102000046,-72.64984095199964,7566.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,24.0,1043.0,24 - 35
95,1970-01-01 00:00:00.000002018,OH,13.8,40.06021014100048,-82.40426005599966,16776.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,38.0,587.0,12 - 17
96,1970-01-01 00:00:00.000002018,AL,18.2,32.84057112200048,-86.63186076199969,296.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,29.0,94.0,American Indian/Alaska Native
97,1970-01-01 00:00:00.000002018,LA,14.1,31.31266064400046,-92.44568007099969,16060.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,22.0,1697.0,Female
98,1970-01-01 00:00:00.000002018,ME,12.1,45.254228894000505,-68.98503133599962,1094.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,49.0,1725.0,Non-Hispanic Black
99,1970-01-01 00:00:00.000002018,UT,10.3,39.360700171000474,-111.58713063499971,4892.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,13.0,900.0,48 - 59
100,1970-01-01 00:00:00.000002018,CO,6.3,38.843840757000464,-106.13361092099967,32247.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,9.0,1398.0,Total
101,1970-01-01 00:00:00.000002018,NM,13.0,34.52088095200048,-106.24058098499967,12706.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,11.0,616.0,Hispanic
102,1970-01-01 00:00:00.000002018,MD,16.1,39.29058096400047,-76.60926011099963,19406.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,45.0,1857.0,24 - 35
103,1970-01-01 00:00:00.000002018,UT,17.8,39.360700171000474,-111.58713063499971,297.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,13.0,900.0,American Indian/Alaska Native
104,1970-01-01 00:00:00.000002018,IL,11.0,40.48501028300046,-88.99771017799969,20610.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,34.0,1795.0,Non-Hispanic Black
105,1970-01-01 00:00:00.000002018,NY,11.0,42.82700103200045,-75.54397042699964,51254.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,47.0,2092.0,Male
106,1970-01-01 00:00:00.000002018,MD,15.5,39.29058096400047,-76.60926011099963,4833.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,45.0,1857.0,6 - 11
107,1970-01-01 00:00:00.000002018,CO,6.1,38.843840757000464,-106.13361092099967,9695.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,9.0,1398.0,Non-Hispanic White
108,1970-01-01 00:00:00.000002018,NC,15.4,35.466220975000454,-79.15925046299964,28365.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,37.0,2390.0,Non-Hispanic White
109,1970-01-01 00:00:00.000002018,AL,13.0,32.84057112200048,-86.63186076199969,11837.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,29.0,94.0,Non-Hispanic Black
110,1970-01-01 00:00:00.000002018,MT,11.9,47.06652897200047,-109.42442064499971,6491.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,2.0,2283.0,Total
111,1970-01-01 00:00:00.000002018,MA,16.1,42.27687047000046,-72.08269067499964,8331.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,25.0,1919.0,48 - 59
112,1970-01-01 00:00:00.000002018,DE,18.0,39.008830667000495,-75.57774116799965,5870.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,43.0,1046.0,Total
113,1970-01-01 00:00:00.000002018,MO,7.6,38.635790776000476,-92.56630005299968,184.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,18.0,532.0,American Indian/Alaska Native
114,1970-01-01 00:00:00.000002018,TX,17.5,31.827240407000488,-99.42677020599967,171187.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,23.0,3109.0,Hispanic
115,1970-01-01 00:00:00.000002018,SD,15.2,44.353130053000484,-100.3735306369997,2512.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,21.0,2732.0,24 - 35
116,1970-01-01 00:00:00.000002018,VT,10.5,43.62538123900049,-72.51764079099962,209.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,28.0,3218.0,Non-Hispanic Black
117,1970-01-01 00:00:00.000002018,MS,14.4,32.745510099000455,-89.53803082499968,18791.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,32.0,494.0,Non-Hispanic Black
118,1970-01-01 00:00:00.000002018,MO,12.7,38.635790776000476,-92.56630005299968,7898.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,18.0,532.0,18 - 23
119,1970-01-01 00:00:00.000002018,NV,14.7,39.493240390000494,-117.07184056399967,24429.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,10.0,481.0,Total
120,1970-01-01 00:00:00.000002018,CA,15.2,37.63864012300047,-120.99999953799971,208835.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,8.0,1340.0,Female
121,1970-01-01 00:00:00.000002018,GA,7.9,32.83968109300048,-83.62758034599966,10834.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,31.0,1149.0,3 - 5
122,1970-01-01 00:00:00.000002018,SD,8.2,44.353130053000484,-100.3735306369997,194.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,21.0,2732.0,Asian/Pacific Islander
124,1970-01-01 00:00:00.000002018,ID,12.7,43.682630005000476,-114.3637300419997,417.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,5.0,1687.0,Asian/Pacific Islander
125,1970-01-01 00:00:00.000002018,KS,16.3,38.34774030000045,-98.20078122699965,8630.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,17.0,1287.0,24 - 35
127,1970-01-01 00:00:00.000002018,MT,11.5,47.06652897200047,-109.42442064499971,2252.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,2.0,2283.0,36 - 47
128,1970-01-01 00:00:00.000002018,NJ,13.2,40.13057004800049,-74.27369128799967,18528.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,46.0,489.0,24 - 35
129,1970-01-01 00:00:00.000002018,GA,10.3,32.83968109300048,-83.62758034599966,78098.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,31.0,1149.0,Total
130,1970-01-01 00:00:00.000002018,MT,7.0,47.06652897200047,-109.42442064499971,100.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,2.0,2283.0,Asian/Pacific Islander
131,1970-01-01 00:00:00.000002018,MD,14.7,39.29058096400047,-76.60926011099963,21361.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,45.0,1857.0,Non-Hispanic Black
132,1970-01-01 00:00:00.000002018,TN,22.7,35.68094058000048,-85.77449091399967,7716.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,39.0,2159.0,Hispanic
133,1970-01-01 00:00:00.000002018,DE,17.4,39.008830667000495,-75.57774116799965,2184.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,43.0,1046.0,36 - 47
134,1970-01-01 00:00:00.000002018,MD,14.3,39.29058096400047,-76.60926011099963,6972.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,45.0,1857.0,Non-Hispanic White
135,1970-01-01 00:00:00.000002018,DC,19.6,38.89037138500049,-77.03196112699965,1269.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,44.0,1049.0,Hispanic
136,1970-01-01 00:00:00.000002018,AK,11.3,64.84507995700051,-147.72205903599973,564.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,51.0,1673.0,Hispanic
137,1970-01-01 00:00:00.000002018,AK,11.7,64.84507995700051,-147.72205903599973,497.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,51.0,1673.0,Non-Hispanic Black
138,1970-01-01 00:00:00.000002018,AK,15.1,64.84507995700051,-147.72205903599973,2438.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,51.0,1673.0,Male
139,1970-01-01 00:00:00.000002018,KS,9.9,38.34774030000045,-98.20078122699965,806.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,17.0,1287.0,Asian/Pacific Islander
140,1970-01-01 00:00:00.000002018,NY,15.6,42.82700103200045,-75.54397042699964,42583.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,47.0,2092.0,Non-Hispanic White
141,1970-01-01 00:00:00.000002018,OR,12.3,44.56744942400047,-120.15503132599969,17158.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,12.0,2452.0,Non-Hispanic White
142,1970-01-01 00:00:00.000002018,DE,16.7,39.008830667000495,-75.57774116799965,2886.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,43.0,1046.0,Male
143,1970-01-01 00:00:00.000002018,NJ,10.5,40.13057004800049,-74.27369128799967,7616.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,46.0,489.0,Non-Hispanic White
144,1970-01-01 00:00:00.000002018,NC,13.9,35.466220975000454,-79.15925046299964,21187.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,37.0,2390.0,Hispanic
145,1970-01-01 00:00:00.000002018,TN,13.4,35.68094058000048,-85.77449091399967,25130.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,39.0,2159.0,Male
146,1970-01-01 00:00:00.000002018,NY,9.1,42.82700103200045,-75.54397042699964,19592.0,Percent of WIC children aged 2 to 4 years who have obesity,aged 2 to 4 year,47.0,2092.0,Asian/Pacific Islander
147,1970-01-01 00:00:00.000002018,MN,12.6,46.35564873600049,-94.79420050299967,4830.0,Percent of WIC children aged 3-23 months old who have a high weight-for-length,3-23 months old,1.0,392.0,Hispanic
148,1970-01-01 00:00:00.000002018,OR,18.1,44.56744942400047,-120.15503132599969,12870.0,Percent of WIC children aged 2 to 4 years who have an overweight classification,aged 2 to 4 year,12.0,2452.0,Hispanic
